+--------------------------+------------------------------------+----------------------------+-----+
| Mod name                 | Registry name                      | Entity class name          |  ID |
+--------------------------+------------------------------------+----------------------------+-----+
| Clumps                   | clumps:xp_orb_big                  | EntityXPOrbBig             |   0 |
| Industrial Craft Classic | ic2:carbonboat                     | EntityCarbonBoat           |   4 |
| Industrial Craft Classic | ic2:dynamite                       | EntityDynamite             |   0 |
| Industrial Craft Classic | ic2:electricboat                   | EntityElectricBoat         |   7 |
| Industrial Craft Classic | ic2:itnt                           | EntityITNT                 |   1 |
| Industrial Craft Classic | ic2:mininglaser                    | EntityMiningLaser          |   8 |
| Industrial Craft Classic | ic2:nuke                           | EntityNuke                 |   2 |
| Industrial Craft Classic | ic2:rubberboat                     | EntityRubberBoat           |   3 |
| Industrial Craft Classic | ic2:trackingmininglaser            | EntityTrackingMiningLaser  |   9 |
| Minecraft                | minecraft:area_effect_cloud        | EntityAreaEffectCloud      |   3 |
| Minecraft                | minecraft:armor_stand              | EntityArmorStand           |  30 |
| Minecraft                | minecraft:arrow                    | EntityTippedArrow          |  10 |
| Minecraft                | minecraft:bat                      | EntityBat                  |  65 |
| Minecraft                | minecraft:blaze                    | EntityBlaze                |  61 |
| Minecraft                | minecraft:boat                     | EntityBoat                 |  41 |
| Minecraft                | minecraft:cave_spider              | EntityCaveSpider           |  59 |
| Minecraft                | minecraft:chest_minecart           | EntityMinecartChest        |  43 |
| Minecraft                | minecraft:chicken                  | EntityChicken              |  93 |
| Minecraft                | minecraft:commandblock_minecart    | EntityMinecartCommandBlock |  40 |
| Minecraft                | minecraft:cow                      | EntityCow                  |  92 |
| Minecraft                | minecraft:creeper                  | EntityCreeper              |  50 |
| Minecraft                | minecraft:donkey                   | EntityDonkey               |  31 |
| Minecraft                | minecraft:dragon_fireball          | EntityDragonFireball       |  26 |
| Minecraft                | minecraft:egg                      | EntityEgg                  |   7 |
| Minecraft                | minecraft:elder_guardian           | EntityElderGuardian        |   4 |
| Minecraft                | minecraft:ender_crystal            | EntityEnderCrystal         | 200 |
| Minecraft                | minecraft:ender_dragon             | EntityDragon               |  63 |
| Minecraft                | minecraft:ender_pearl              | EntityEnderPearl           |  14 |
| Minecraft                | minecraft:enderman                 | EntityEnderman             |  58 |
| Minecraft                | minecraft:endermite                | EntityEndermite            |  67 |
| Minecraft                | minecraft:evocation_fangs          | EntityEvokerFangs          |  33 |
| Minecraft                | minecraft:evocation_illager        | EntityEvoker               |  34 |
| Minecraft                | minecraft:eye_of_ender_signal      | EntityEnderEye             |  15 |
| Minecraft                | minecraft:falling_block            | EntityFallingBlock         |  21 |
| Minecraft                | minecraft:fireball                 | EntityLargeFireball        |  12 |
| Minecraft                | minecraft:fireworks_rocket         | EntityFireworkRocket       |  22 |
| Minecraft                | minecraft:furnace_minecart         | EntityMinecartFurnace      |  44 |
| Minecraft                | minecraft:ghast                    | EntityGhast                |  56 |
| Minecraft                | minecraft:giant                    | EntityGiantZombie          |  53 |
